Продукт,Белки,Жиры,Углеводы,Калорийность
Рис Агро-Альянс бурый Slim&Fit,7.5,2.0,77.0,380
Рис Агро-Альянс для плова,6.5,9.0,79.0,420
Рис Агро-Альянс для ризотто Арборио,6.5,1.0,75.0,340
Рис Агро-Альянс для суши и японской кухни,8.0,0.4,77.0,340
Рис Агро-Альянс Жасмин,7.5,0.2,76.0,340
Рис Агро-Альянс красный Рубин,7.5,2.0,69.0,340
Рис Агро-Альянс кубанский Элитный,6.5,0.5,75.0,330
Рис Агро-Альянс пропаренный Gold,6.5,1.0,79.0,350
Рис Агро-Альянс Смесь золотистого и дикого,8.0,1.0,76.0,340
Рис Агро-Альянс Супер Басмати,9.5,0.2,75.0,340
Рис Агро-Альянс черный Южная ночь,6.5,2.5,52.0,260
Рис Арборио,6.5,0.7,75.4,330
Рис белый,6.7,0.7,78.9,344
Рис белый вареный,2.2,0.5,24.9,116
Рис бурый,7.4,1.8,72.9,337
Рис Дикий + Парбоилд Worlds Rice,13.7,1.0,74.2,358
Рис дикий вареный,4.0,0.3,21.1,100
Рис дикий чёрный,4.1,0.4,21.0,101
Рис длиннозерный,7.1,0.7,78.0,365
Рис для суши,7.0,0.6,75.2,342
Рис Жменька Арборио,6.7,1.5,78.5,354
Рис Жменька длиннозернистый,7.0,1.0,71.4,330
Рис Жменька Жасмин,6.9,0.2,73.4,331
Рис Жменька круглозернистый,7.0,1.0,71.4,330
Рис Жменька нешлифованный,8.0,3.9,52.0,285
Рис Жменька Отборный,7.0,1.0,71.4,330
Рис Жменька пропаренный,7.3,0.2,75.4,341
Рис Жменька пропаренный Gold,7.3,0.2,75.4,341
Рис Жменька Супер Басмати,7.1,0.2,71.2,322
Рис Жменька Суши,7.2,0.3,79.0,347
Рис золотистый,8.1,0.4,78.0,349
Рис Карнароли,7.5,2.6,62.5,303
Рис коричневый,6.3,4.4,65.1,331
Рис коричневый вареный,2.6,0.9,22.8,110
Рис красный нешлифованный,10.5,2.5,70.5,362
Рис круглозерный шлифованный,0.1,0.4,79.0,350
Рис Мистраль Акватика Color Mix,8.8,2.3,72.8,356
Рис Мистраль Акватика Дикий,14.0,0.5,72.0,357
Рис Мистраль круглозерный,0.1,0.4,79.5,355
Рис Мистраль пропаренный,7.1,0.7,79.3,361
Рис Мистраль Самарканд красный круглозерный,8.0,0.5,75.8,320
Рис Националь Здоровье,7.5,2.0,73.0,340
Рис Националь Ризотто,6.5,0.5,83.0,360
Рис Националь Феникс,7.0,2.0,75.0,350
Рис нешлифованный вареный,2.7,0.7,36.0,125
Рис Нишики,7.0,2.0,56.0,277
Рис Пассим круглозёрный Приморский,7.0,1.0,74.0,333
Рис полированный,7.0,1.0,71.4,330
Рис пропаренный вареный,2.1,0.1,21.4,97
Рис рассыпчатый,2.4,0.2,24.9,113
Рис Увелка круглозерный,7.0,1.0,71.1,330
Рис Увелка круглозерный шлифованный,8.0,1.0,76.0,340
Рис Фушигон,7.0,0.6,77.3,340
Рисовая каша на воде,1.5,0.1,17.4,78
